date,amount,transaction_type
1990-08-19,796.8631905,swap
1990-08-20,507.6107222,transfer
1990-08-21,581.1348458,transfer
1990-08-22,497.5925169,swap
1990-08-23,203.2905579,stake
1990-08-24,725.2275941,transfer
1990-08-25,287.9646388,transfer
1990-08-26,34.07280677,transfer
1990-08-27,649.0175729,transfer
1990-08-28,185.3395726,swap
1990-08-29,941.0539985,swap
1990-08-30,954.3892912,swap
1990-08-31,915.7157463,swap
1990-09-01,376.4571133,stake
1990-09-02,25.30205036,swap
1990-09-03,929.035377,swap
1990-09-04,433.9023068,transfer
1990-09-05,966.9882709,stake
1990-09-06,963.9837773,transfer
1990-09-07,854.4793609,stake
1990-09-08,301.5044031,withdraw
1990-09-09,391.2467513,stake
1990-09-10,852.6253048,stake
1990-09-11,323.7527851,transfer
1990-09-12,177.7978192,stake
1990-09-13,561.2332498,stake
1990-09-14,936.7932264,transfer
1990-09-15,699.0694987,withdraw
1990-09-16,574.3605584,withdraw
1990-09-17,106.2047288,withdraw
1990-09-18,618.8571544,stake
1990-09-19,990.1533116,transfer
1990-09-20,148.6831751,withdraw
1990-09-21,523.1463558,withdraw
1990-09-22,878.5993412,withdraw
1990-09-23,743.3609316,withdraw
1990-09-24,700.0455836,transfer
1990-09-25,705.4592431,withdraw
1990-09-26,365.8962397,stake
1990-09-27,300.6559258,stake
1990-09-28,811.2675439,transfer
1990-09-29,812.0122607,swap
1990-09-30,868.4015954,withdraw
1990-10-01,914.108147,withdraw
1990-10-02,516.2289749,stake
1990-10-03,506.5011317,transfer
1990-10-04,800.3122272,swap
1990-10-05,653.4642915,stake
1990-10-06,704.9472085,swap
1990-10-07,797.8347427,transfer
1990-10-08,891.1052884,transfer
1990-10-09,344.6152053,transfer
1990-10-10,381.8271231,stake
1990-10-11,103.0421204,transfer
1990-10-12,582.4973396,stake
1990-10-13,45.58285106,stake
1990-10-14,470.942038,withdraw
1990-10-15,547.2181884,stake
1990-10-16,293.6758396,stake
1990-10-17,594.924928,withdraw
1990-10-18,40.19524744,swap
1990-10-19,46.97470686,withdraw
1990-10-20,824.3745551,withdraw
1990-10-21,366.588735,transfer
1990-10-22,135.7899075,transfer
1990-10-23,527.0208275,withdraw
1990-10-24,772.2936176,transfer
1990-10-25,223.6628172,withdraw
1990-10-26,626.6615711,transfer
1990-10-27,94.49399034,stake
1990-10-28,61.16490396,transfer
1990-10-29,536.0410853,transfer
1990-10-30,545.2287704,stake
1990-10-31,641.0556025,withdraw
1990-11-01,728.8304204,transfer
1990-11-02,976.0935587,transfer
1990-11-03,521.1373448,stake
1990-11-04,329.7269082,stake
1990-11-05,797.2343328,stake
1990-11-06,278.1239287,swap
1990-11-07,444.5817065,stake
1990-11-08,87.67181753,withdraw
1990-11-09,35.09723598,transfer
1990-11-10,963.0219305,transfer
1990-11-11,837.6203193,swap
1990-11-12,699.014464,transfer
1990-11-13,414.863415,transfer
1990-11-14,181.5613769,withdraw
1990-11-15,164.8726722,transfer
1990-11-16,257.7404692,withdraw
1990-11-17,553.7343981,swap
1990-11-18,717.4499635,withdraw
1990-11-19,663.595403,stake
1990-11-20,287.134558,stake
1990-11-21,955.3166279,swap
1990-11-22,740.5179475,transfer
1990-11-23,558.810512,withdraw
1990-11-24,615.6035388,stake
1990-11-25,425.4040618,withdraw
1990-11-26,255.2536796,stake
1990-11-27,362.4129519,withdraw
1990-11-28,760.2676494,transfer
1990-11-29,24.24955374,swap
1990-11-30,124.9119141,transfer
1990-12-01,55.5426156,withdraw
1990-12-02,50.3215143,stake
1990-12-03,856.9059782,stake
1990-12-04,706.6212808,swap
1990-12-05,479.4320908,transfer
1990-12-06,106.855819,transfer
1990-12-07,496.6997164,transfer
1990-12-08,478.7370531,stake
1990-12-09,181.4698512,swap
1990-12-10,439.5131327,stake
1990-12-11,404.5196871,transfer
1990-12-12,619.6915971,withdraw
1990-12-13,638.7427144,stake
1990-12-14,54.85096967,swap
1990-12-15,380.8664885,transfer
1990-12-16,629.6013166,withdraw
1990-12-17,508.104896,stake
1990-12-18,857.9249428,withdraw
1990-12-19,662.1066953,withdraw
1990-12-20,171.3050828,swap
1990-12-21,79.86305993,stake
1990-12-22,645.9950854,swap
1990-12-23,36.24619744,transfer
1990-12-24,589.9178255,withdraw
1990-12-25,940.827939,swap
1990-12-26,579.7194361,swap
1990-12-27,394.2882269,transfer
1990-12-28,646.8553363,stake
1990-12-29,463.6703616,swap
1990-12-30,550.1606214,withdraw
1990-12-31,942.0501607,withdraw
1991-01-01,392.2416114,withdraw
1991-01-02,961.5786582,withdraw
1991-01-03,906.2971355,swap
1991-01-04,203.8332234,withdraw
1991-01-05,78.66768787,swap
1991-01-06,109.7702214,stake
1991-01-07,28.0396074,withdraw
1991-01-08,103.4985311,stake
1991-01-09,686.1767057,swap
1991-01-10,80.47676198,transfer
1991-01-11,325.785874,stake
1991-01-12,846.4265579,withdraw
1991-01-13,33.03921638,transfer
1991-01-14,816.3237978,stake
1991-01-15,289.036227,swap
1991-01-16,126.9831793,swap
1991-01-17,699.7697937,swap
1991-01-18,632.6534183,stake
1991-01-19,878.6972934,swap
1991-01-20,737.7203334,stake
1991-01-21,805.4461211,withdraw
1991-01-22,289.2142268,withdraw
1991-01-23,185.6651483,stake
1991-01-24,753.1086041,stake
1991-01-25,808.7663919,transfer
1991-01-26,990.6000906,swap
1991-01-27,418.4915001,withdraw
1991-01-28,378.2979049,withdraw
1991-01-29,778.6488311,transfer
1991-01-30,347.3955049,stake
1991-01-31,931.4497523,stake
1991-02-01,859.8286243,transfer
1991-02-02,434.7040871,swap
1991-02-03,753.3623571,stake
1991-02-04,756.9974453,stake
1991-02-05,112.0926301,swap
1991-02-06,903.5273776,swap
1991-02-07,510.1998487,transfer
1991-02-08,828.1928914,transfer
1991-02-09,326.849105,transfer
1991-02-10,896.5679962,stake
1991-02-11,395.3096619,transfer
1991-02-12,20.72927497,stake
1991-02-13,906.3281567,withdraw
1991-02-14,100.37381,swap
1991-02-15,326.1205012,swap
1991-02-16,950.5613474,withdraw
1991-02-17,951.1010755,transfer
1991-02-18,577.7035092,stake
1991-02-19,635.51884,stake
1991-02-20,453.9610668,stake
1991-02-21,300.278664,swap
1991-02-22,335.3778999,transfer
1991-02-23,675.7932715,stake
1991-02-24,754.8507841,stake
1991-02-25,793.6632533,stake
1991-02-26,791.7219614,withdraw
1991-02-27,100.294042,stake
1991-02-28,499.4761017,withdraw
1991-03-01,66.98317242,stake
1991-03-02,554.0335935,stake
1991-03-03,447.1151964,stake
1991-03-04,888.8271409,withdraw
1991-03-05,357.4058624,stake
1991-03-06,125.8963463,transfer
1991-03-07,151.5617652,stake
1991-03-08,763.8955254,withdraw
1991-03-09,622.0358827,withdraw
1991-03-10,110.1114494,transfer
1991-03-11,93.26573805,swap
1991-03-12,703.9594401,transfer
1991-03-13,82.0353763,transfer
1991-03-14,823.6414587,withdraw
1991-03-15,709.1798049,stake
1991-03-16,90.53529284,stake
1991-03-17,93.98933694,swap
1991-03-18,986.7731827,swap
1991-03-19,380.5280878,swap
1991-03-20,376.9357256,swap
1991-03-21,814.6715716,transfer
1991-03-22,947.7760916,transfer
1991-03-23,986.1410532,stake
1991-03-24,755.8444034,transfer
1991-03-25,382.4969897,stake
1991-03-26,92.66570953,stake
1991-03-27,779.3754468,stake
1991-03-28,562.8202072,stake
1991-03-29,429.9797892,withdraw
1991-03-30,907.2908412,stake
1991-03-31,120.0855075,transfer
1991-04-01,497.6988532,transfer
1991-04-02,21.24010832,transfer
1991-04-03,473.9740356,transfer
1991-04-04,65.74024293,withdraw
1991-04-05,127.6297371,swap
1991-04-06,126.3509843,swap
1991-04-07,652.7181991,stake
1991-04-08,748.5844305,stake
1991-04-09,587.5350774,transfer
1991-04-10,962.550823,transfer
1991-04-11,381.1218737,swap
1991-04-12,292.8549654,swap
1991-04-13,869.9131369,transfer
1991-04-14,231.3598801,stake
1991-04-15,963.590314,withdraw
1991-04-16,22.03292994,withdraw
1991-04-17,970.1800384,swap
1991-04-18,52.72831283,swap
1991-04-19,892.2316826,swap
1991-04-20,532.424098,withdraw
1991-04-21,993.0351482,withdraw
1991-04-22,83.05859909,transfer
1991-04-23,558.3157416,stake
1991-04-24,969.6095103,swap
1991-04-25,527.8668657,transfer
1991-04-26,633.1046518,withdraw
1991-04-27,698.7912021,transfer
1991-04-28,459.9956541,withdraw
1991-04-29,631.2824993,stake
1991-04-30,588.4711688,withdraw
1991-05-01,902.1464304,transfer
1991-05-02,54.99191654,stake
1991-05-03,288.1535577,withdraw
1991-05-04,950.9073692,swap
1991-05-05,891.3611461,withdraw
1991-05-06,461.1001853,stake
1991-05-07,623.9312718,transfer
1991-05-08,284.6073712,stake
1991-05-09,196.2399481,transfer
1991-05-10,469.0614209,withdraw
1991-05-11,359.8187057,withdraw
1991-05-12,587.8195507,stake
1991-05-13,86.9572906,swap
1991-05-14,974.6508596,withdraw
1991-05-15,986.348637,swap
1991-05-16,701.1800969,swap
1991-05-17,540.7354027,stake
1991-05-18,316.4323401,withdraw
1991-05-19,815.6570695,swap
1991-05-20,687.8838608,withdraw
1991-05-21,170.99077,transfer
1991-05-22,911.8179126,swap
1991-05-23,824.3118705,stake
1991-05-24,950.3019142,stake
1991-05-25,728.4623133,swap
1991-05-26,617.281044,withdraw
1991-05-27,424.0606059,transfer
1991-05-28,933.4011985,transfer
1991-05-29,867.4032506,stake
1991-05-30,54.76648341,stake
1991-05-31,36.10330475,withdraw
1991-06-01,382.6987332,stake
1991-06-02,812.4477975,withdraw
1991-06-03,987.403368,swap
1991-06-04,158.9127222,transfer
1991-06-05,598.1894082,swap
1991-06-06,387.0819481,stake
1991-06-07,970.2152538,transfer
1991-06-08,843.6977339,transfer
1991-06-09,839.9454177,swap
1991-06-10,474.0062282,withdraw
1991-06-11,420.6713073,transfer
1991-06-12,280.6730012,withdraw
1991-06-13,65.81174168,swap
1991-06-14,866.0751525,swap
1991-06-15,814.771999,withdraw
1991-06-16,999.7204966,swap
1991-06-17,996.6704687,transfer
1991-06-18,559.8773885,swap
1991-06-19,771.297541,swap
1991-06-20,945.3180726,transfer
1991-06-21,851.1509168,withdraw
1991-06-22,254.8746207,swap
1991-06-23,456.038694,withdraw
1991-06-24,137.867821,transfer
1991-06-25,954.510517,withdraw
1991-06-26,610.1128881,withdraw
1991-06-27,236.3563774,stake
1991-06-28,674.9836776,stake
1991-06-29,621.9469581,swap
1991-06-30,364.5810909,stake
1991-07-01,122.4220163,stake
1991-07-02,674.8574636,stake
1991-07-03,525.1046239,withdraw
1991-07-04,774.5952078,withdraw
1991-07-05,524.9618661,stake
1991-07-06,853.6596853,transfer
1991-07-07,556.3877704,stake
1991-07-08,565.3285918,transfer
1991-07-09,877.8870666,withdraw
1991-07-10,409.4480376,transfer
1991-07-11,142.6750762,withdraw
1991-07-12,38.49484955,transfer
1991-07-13,757.5858831,withdraw
1991-07-14,624.1064558,withdraw
1991-07-15,707.0389704,stake
1991-07-16,220.8345199,swap
1991-07-17,145.0077608,swap
1991-07-18,24.39921901,withdraw
1991-07-19,357.0816832,stake
1991-07-20,594.01851,swap
1991-07-21,398.3216046,swap
1991-07-22,443.1001728,stake
1991-07-23,905.1171075,stake
1991-07-24,354.7729124,swap
1991-07-25,518.8495943,swap
1991-07-26,785.8164826,transfer
1991-07-27,402.5773545,transfer
1991-07-28,625.8658332,withdraw
1991-07-29,863.7400717,swap
1991-07-30,950.0254174,stake
1991-07-31,155.6027461,stake
1991-08-01,927.3217489,swap
1991-08-02,497.1951301,withdraw
1991-08-03,265.6619444,stake
1991-08-04,464.5443987,swap
1991-08-05,980.2322495,swap
1991-08-06,497.6919131,withdraw
1991-08-07,335.4640942,swap
1991-08-08,637.0668458,stake
1991-08-09,247.7441626,transfer
1991-08-10,85.10469483,withdraw
1991-08-11,137.5909247,swap
1991-08-12,136.7653806,withdraw
1991-08-13,160.3836666,swap
1991-08-14,147.4389009,transfer
1991-08-15,644.4659974,withdraw
1991-08-16,190.0612836,swap
1991-08-17,352.2106105,transfer
1991-08-18,897.8205258,stake
1991-08-19,479.2220239,swap
1991-08-20,670.8821611,transfer
1991-08-21,180.5966725,transfer
1991-08-22,200.3661286,withdraw
1991-08-23,50.4599301,swap
1991-08-24,177.2457124,stake
1991-08-25,285.8044356,swap
1991-08-26,185.2403794,transfer
1991-08-27,97.81550842,stake
1991-08-28,129.4295124,transfer
1991-08-29,466.1709804,withdraw
1991-08-30,214.2703812,swap
1991-08-31,370.6271624,transfer
1991-09-01,508.3830981,transfer
1991-09-02,693.4908803,swap
1991-09-03,48.91901844,stake
1991-09-04,801.4162949,transfer
1991-09-05,631.6213856,swap
1991-09-06,90.94144163,withdraw
1991-09-07,874.8428379,withdraw
1991-09-08,921.6636765,swap
1991-09-09,70.46718026,transfer
1991-09-10,284.1088717,swap
1991-09-11,808.139267,swap
1991-09-12,750.7770935,transfer
1991-09-13,192.6758092,stake
1991-09-14,217.2558301,stake
1991-09-15,376.7673818,withdraw
1991-09-16,489.6777553,stake
1991-09-17,622.0722238,swap
1991-09-18,375.2245032,transfer
1991-09-19,467.909369,withdraw
1991-09-20,749.9962288,stake
1991-09-21,46.31637086,swap
1991-09-22,259.9125749,withdraw
1991-09-23,716.21609,transfer
1991-09-24,896.2547693,stake
1991-09-25,516.5606677,swap
1991-09-26,536.7923504,transfer
1991-09-27,116.1002912,swap
1991-09-28,452.9382432,swap
1991-09-29,537.2910938,swap
1991-09-30,250.0457986,transfer
1991-10-01,276.5507986,withdraw
1991-10-02,383.5113215,swap
1991-10-03,29.8704858,withdraw
1991-10-04,328.8583739,withdraw
1991-10-05,219.3335269,stake
1991-10-06,334.2223787,stake
1991-10-07,128.5645105,withdraw
1991-10-08,891.6220079,stake
1991-10-09,597.656529,stake
1991-10-10,682.311296,withdraw
1991-10-11,791.2795262,transfer
1991-10-12,503.4577769,stake
1991-10-13,96.05108521,stake
1991-10-14,541.7354764,transfer
1991-10-15,590.9727068,transfer
1991-10-16,747.9850794,transfer
1991-10-17,437.3429508,withdraw
1991-10-18,136.3044998,transfer
1991-10-19,290.9381467,withdraw
1991-10-20,369.4514734,swap
1991-10-21,649.4580689,swap
1991-10-22,575.0705216,transfer
1991-10-23,362.5357586,transfer
1991-10-24,986.6500963,swap
1991-10-25,609.7170712,withdraw
1991-10-26,244.8545238,withdraw
1991-10-27,110.7646479,transfer
1991-10-28,161.3305478,transfer
1991-10-29,253.4981511,transfer
1991-10-30,169.0745595,swap
1991-10-31,194.7013538,stake
1991-11-01,292.244217,transfer
1991-11-02,181.6398593,withdraw
1991-11-03,897.7977704,stake
1991-11-04,89.43140821,withdraw
1991-11-05,529.2662757,stake
1991-11-06,416.2928587,swap
1991-11-07,982.5548307,stake
1991-11-08,120.9185131,withdraw
1991-11-09,403.8770431,stake
1991-11-10,969.7757289,swap
1991-11-11,866.8520546,withdraw
1991-11-12,818.9013502,transfer
1991-11-13,265.3237988,stake
1991-11-14,179.1787115,withdraw
1991-11-15,671.9567877,stake
1991-11-16,930.0822292,swap
1991-11-17,561.1952641,withdraw
1991-11-18,575.8965626,transfer
1991-11-19,287.1793027,transfer
1991-11-20,771.7980039,stake
1991-11-21,195.1733111,swap
1991-11-22,330.442444,swap
1991-11-23,431.1820742,stake
1991-11-24,512.5342749,withdraw
1991-11-25,249.9856351,withdraw
1991-11-26,123.6884565,stake
1991-11-27,614.513842,withdraw
1991-11-28,295.7442477,withdraw
1991-11-29,585.4258392,withdraw
1991-11-30,162.8190881,stake
1991-12-01,486.3287008,transfer
1991-12-02,537.2635382,swap
1991-12-03,61.30530145,transfer
1991-12-04,343.2382354,withdraw
1991-12-05,143.0705302,stake
1991-12-06,72.74122077,swap
1991-12-07,990.0606301,withdraw
1991-12-08,329.1303065,swap
1991-12-09,811.7757014,swap
1991-12-10,262.0942482,transfer
1991-12-11,684.687695,withdraw
1991-12-12,762.6255813,swap
1991-12-13,599.6823532,transfer
1991-12-14,476.8604267,stake
1991-12-15,417.722505,swap
1991-12-16,355.3795839,withdraw
1991-12-17,930.2338528,stake
1991-12-18,832.3132137,swap
1991-12-19,965.3766416,swap
1991-12-20,133.0542513,withdraw
1991-12-21,733.5588005,swap
1991-12-22,938.9570523,withdraw
1991-12-23,189.4207355,withdraw
1991-12-24,75.83130469,withdraw
1991-12-25,743.7094428,withdraw
1991-12-26,578.728382,swap
1991-12-27,843.410489,stake
1991-12-28,148.3746529,stake
1991-12-29,797.3146387,transfer
1991-12-30,209.6110468,withdraw
1991-12-31,172.0193834,swap
1992-01-01,172.62314,swap
1992-01-02,816.428973,transfer
1992-01-03,668.5452485,stake
1992-01-04,527.8347705,swap
1992-01-05,365.2421793,transfer
1992-01-06,878.4285354,stake
1992-01-07,398.5206563,swap
1992-01-08,818.4334451,withdraw
1992-01-09,444.7435595,transfer
1992-01-10,383.1749851,swap
1992-01-11,468.0529878,transfer
1992-01-12,308.3640954,transfer
1992-01-13,750.1332864,transfer
1992-01-14,507.6931862,withdraw
1992-01-15,239.8905682,stake
1992-01-16,900.5788275,stake
1992-01-17,390.0523092,swap
1992-01-18,548.1173325,withdraw
1992-01-19,907.4073899,stake
1992-01-20,627.995616,swap
1992-01-21,125.7290603,swap
1992-01-22,940.4338024,transfer
1992-01-23,631.4309725,withdraw
1992-01-24,341.5565585,stake
1992-01-25,147.8793519,withdraw
1992-01-26,796.0849374,withdraw
1992-01-27,623.8720284,stake
1992-01-28,538.1264811,stake
1992-01-29,894.9536572,withdraw
1992-01-30,790.7112391,swap
1992-01-31,160.1581309,withdraw
1992-02-01,318.6048471,stake
1992-02-02,256.0042484,withdraw
1992-02-03,746.5068296,stake
1992-02-04,43.19711039,swap
1992-02-05,574.190788,withdraw
1992-02-06,764.8340989,swap
1992-02-07,877.9979804,withdraw
1992-02-08,348.6609312,withdraw
1992-02-09,823.0447316,stake
1992-02-10,119.5254196,transfer
1992-02-11,847.9877688,stake
1992-02-12,136.2137757,withdraw
1992-02-13,403.3144177,transfer
1992-02-14,799.3224121,transfer
1992-02-15,158.4182531,swap
1992-02-16,236.9588813,withdraw
1992-02-17,725.0300427,stake
1992-02-18,722.8361712,transfer
1992-02-19,644.7361566,transfer
1992-02-20,697.00896,stake
1992-02-21,547.2971989,stake
1992-02-22,259.2810683,transfer
1992-02-23,352.2390336,stake
1992-02-24,189.7817396,swap
1992-02-25,909.3660557,transfer
1992-02-26,587.5578768,swap
1992-02-27,406.8429026,withdraw
1992-02-28,467.3857456,swap
1992-02-29,947.8105062,stake
1992-03-01,161.8178891,transfer
1992-03-02,590.3675337,swap
1992-03-03,510.8297921,stake
1992-03-04,615.3396931,stake
1992-03-05,27.92908198,swap
1992-03-06,873.4026699,transfer
1992-03-07,932.7970997,swap
1992-03-08,569.4818518,withdraw
1992-03-09,699.6843156,swap
1992-03-10,923.2743874,swap
1992-03-11,710.166248,transfer
1992-03-12,161.0136525,swap
1992-03-13,580.5254766,stake
1992-03-14,610.6478959,transfer
1992-03-15,429.8893646,stake
1992-03-16,739.0797933,transfer
1992-03-17,935.0233446,withdraw
1992-03-18,926.3128278,withdraw
1992-03-19,456.3309777,withdraw
1992-03-20,122.1056654,swap
1992-03-21,984.992787,withdraw
1992-03-22,840.5091056,transfer
1992-03-23,133.4160544,withdraw
1992-03-24,921.6334638,transfer
1992-03-25,871.1973984,stake
1992-03-26,523.6496766,swap
1992-03-27,595.3626814,stake
1992-03-28,405.0126768,stake
1992-03-29,64.21402243,withdraw
1992-03-30,341.8452692,withdraw
1992-03-31,804.8249141,withdraw
1992-04-01,14.58570277,stake
1992-04-02,340.16418,swap
1992-04-03,404.1870067,swap
1992-04-04,542.0216469,stake
1992-04-05,920.6570602,swap
1992-04-06,352.8825344,stake
1992-04-07,353.4836699,stake
1992-04-08,740.1262356,swap
1992-04-09,457.6957615,transfer
1992-04-10,232.3587747,transfer
1992-04-11,457.915121,withdraw
1992-04-12,149.4484502,swap
1992-04-13,184.6231166,withdraw
1992-04-14,503.384095,stake
1992-04-15,424.736195,transfer
1992-04-16,915.6974421,swap
1992-04-17,368.7699601,swap
